TP9,AF7,AF8,TP10,Right AUX
726.081,750.256,861.465,721.648,733.736
712.381,838.498,867.509,707.949,686.19
930.366,922.308,875.971,867.509,746.63
642.674,547.985,646.3,647.106,614.469
882.418,835.678,885.641,858.645,1017.399
673.7,837.289,774.432,725.275,605.604
847.363,808.278,811.905,830.44,783.7
756.3,782.088,734.542,762.747,681.758
444.029,707.949,666.044,503.26,653.956
782.088,1035.531,936.41,812.308,767.582
753.883,541.538,667.656,730.11,737.766
930.366,1201.135,1034.725,908.608,871.136
576.996,489.963,597.949,678.132,643.077
939.231,1336.52,1109.67,890.476,824.396
630.586,327.985,546.777,691.026,647.106
777.656,473.443,609.231,734.542,729.304
854.615,628.571,731.319,843.333,811.905
454.103,206.703,348.938,436.374,722.051
931.172,1330.073,1093.553,954.139,746.227
527.839,292.125,483.516,518.169,519.377
692.234,913.846,842.93,742.198,655.971
773.626,570.549,665.641,773.223,681.355
886.044,1417.509,1178.974,884.835,938.828
686.593,383.59,558.864,673.297,672.088
1014.176,1323.626,1148.755,1019.817,867.106
1094.359,1253.516,1112.491,1070.989,1005.714
487.949,304.615,434.762,514.139,664.835
579.414,358.205,500.44,585.055,612.857
1043.993,1321.209,1128.608,992.418,929.963
643.077,144.249,411.392,641.465,664.835
1025.458,1043.59,940.44,981.538,890.476
542.747,661.612,659.597,579.011,560.476
857.839,620.11,710.366,843.736,851.795
680.952,398.095,574.579,681.758,673.297
844.945,641.062,729.304,824.396,834.872
726.886,471.429,591.905,711.575,657.18
791.758,601.172,676.117,774.835,826.007
871.538,999.67,933.59,879.597,737.363
761.941,799.817,741.795,769.194,659.194
825.604,609.634,704.725,824.396,771.612
857.839,939.634,876.777,857.839,812.711
791.355,1048.828,870.33,785.714,622.93
751.062,571.758,617.692,736.557,751.868
860.256,1023.443,909.011,838.901,767.18
870.33,667.656,780.879,846.154,803.846
853.81,1191.868,994.835,888.462,720.037
708.755,589.487,655.568,725.678,730.916
774.835,691.831,735.751,768.388,500.842
830.842,1041.575,997.656,872.747,759.927
838.095,1172.93,983.553,860.256,762.344
818.352,677.326,738.169,828.425,806.264
853.004,795.788,836.081,855.824,771.612
720.842,792.564,681.355,693.04,658.791
819.56,736.96,668.059,798.608,699.084
889.267,930.769,827.216,909.817,828.828
874.359,1087.106,927.949,912.637,734.542
756.703,898.132,808.681,743.004,562.491
718.022,299.377,558.059,674.505,772.82
716.41,638.242,693.04,679.341,618.095
710.366,488.755,659.194,686.19,645.495
821.172,525.824,711.978,832.454,1022.234
749.048,949.707,875.568,744.212,697.875
915.055,1068.974,908.608,926.74,867.106
763.553,795.788,752.271,713.993,591.099
884.835,886.044,962.198,877.18,977.912
656.374,452.088,587.473,653.15,551.612
895.714,1523.883,1135.458,931.978,827.619
815.531,471.026,667.253,761.941,830.037
858.242,986.374,813.114,841.319,756.703
730.513,1005.311,931.978,800.623,843.736
761.136,264.725,676.52,728.498,745.421
653.956,1058.095,939.634,686.593,800.22
863.48,1006.117,906.19,855.824,770
815.128,640.256,684.982,751.868,710.366
682.967,375.934,613.663,611.245,782.088
788.535,1236.19,962.601,840.916,740.989
927.546,868.718,819.963,922.308,724.469
871.941,207.509,585.055,790.952,873.553
768.388,1058.498,970.659,850.183,748.242
751.062,372.711,714.396,722.454,986.374
780.879,1010.147,927.949,792.967,684.176
810.696,528.645,658.388,729.707,676.117
834.066,697.07,637.033,821.172,745.421
746.63,855.421,869.524,729.304,593.516
779.67,687.802,713.187,712.381,653.15
786.52,1382.454,990,874.762,750.256
878.791,1352.637,952.125,930.769,921.099
797.802,1254.725,930.366,869.121,736.154
797.399,857.839,931.172,846.154,936.007
855.018,930.769,740.183,875.568,792.564
822.381,827.619,771.209,855.018,811.099
584.652,533.077,269.56,818.352,647.912
829.634,968.242,339.67,851.392,630.989
792.161,1198.315,790.147,828.425,733.736
813.919,1330.073,772.418,925.128,711.172
796.593,630.586,822.784,764.762,700.696
765.165,1012.967,809.487,869.927,765.971
739.377,668.059,803.443,807.07,968.645
778.462,1314.359,814.322,798.205,754.689
822.381,721.245,785.714,904.982,1013.37
809.084,1114.505,800.22,790.549,745.018
769.194,1314.762,813.516,855.824,742.601
788.535,247.802,817.546,738.571,937.216
817.546,182.125,806.667,770,964.212
806.667,824.799,790.147,754.689,711.172
807.875,994.029,766.374,888.462,831.648
836.484,1047.216,812.308,809.89,755.495
828.425,1127.802,780.476,879.597,865.092
884.432,803.443,854.212,794.579,722.051
770.806,1215.641,796.19,738.571,661.612
742.601,777.656,732.125,786.117,678.535
755.897,716.41,821.172,732.125,713.993
794.982,558.059,825.604,794.176,747.033
871.941,1445.714,793.773,850.989,769.597
820.366,557.253,745.824,798.608,755.495
879.194,869.121,886.044,788.132,700.293
802.234,1057.692,936.813,799.414,700.293
834.066,927.546,461.758,758.718,672.088
792.161,973.48,750.256,821.172,794.982
828.828,1295.824,601.172,830.44,693.846
832.857,924.725,938.425,815.531,832.051
796.19,720.037,473.443,770.403,763.956
1024.249,1620.586,1046.813,1176.96,799.414
853.004,1072.198,950.513,876.374,806.264
919.084,1158.425,1624.212,899.341,793.37
801.831,546.374,762.344,784.103,781.685
825.604,343.297,845.348,747.033,826.007
759.121,640.659,771.209,728.901,683.773
872.344,928.352,699.084,906.593,840.513
805.055,861.062,745.421,807.07,839.707
795.385,1140.293,745.018,753.077,691.831
857.436,1236.19,818.352,892.491,749.853
771.612,823.59,784.908,754.286,750.659
840.916,738.571,782.491,803.04,632.198
841.319,1045.604,784.908,833.26,823.187
262.308,0,444.835,180.11,759.927
799.414,1364.322,1007.326,878.791,723.663
773.626,477.07,593.919,682.161,648.315
849.78,1194.689,1047.619,899.744,812.711
864.286,1534.359,1088.718,892.491,900.952
869.927,1212.821,915.458,902.564,813.114
739.377,247.802,537.509,668.462,664.835
781.685,668.462,637.436,737.363,666.447
728.498,140.22,443.223,633.407,878.388
828.425,1294.615,1071.795,886.044,771.612
0,0,0,13.297,400.513
0,112.015,1286.557,0,0
168.425,155.128,70.11,147.07,318.315
